# airline	from	to	codeshare	stops	equipment
# Date: 2014-06-28
3U	CTU	HKG		0	320
3U	CTU	HKT		0	321
3U	CTU	ICN		0	321
3U	CTU	INC		0	321
3U	CTU	JHG		0	319
3U	CTU	JIQ		0	320
3U	CTU	JZH		0	319
3U	CTU	KHN		0	321
3U	CTU	KMG		0	320
3U	CTU	KOW		0	320
3U	CTU	KWE		0	320
3U	CTU	LHW		0	319
3U	CTU	LJG		0	319
3U	CTU	LUM		0	319
3U	CTU	LXA		0	330 319
3U	CTU	LZY		0	319
3U	CTU	MEL		0	330
3U	CTU	NKG		0	319 320
3U	CTU	NNG		0	319 320
3U	CTU	PEK		0	330 321 320
3U	CTU	PVG		0	321 330
3U	CTU	PZI		0	319
3U	CTU	SHE		0	330
3U	CTU	SJW		0	320
3U	CTU	SYX		0	321
3U	CTU	SZX		0	320 321
3U	CTU	TAO		0	321
3U	CTU	TNA		0	321
3U	CTU	TSA		0	320
3U	CTU	TSN		0	321
3U	CTU	TYN		0	319
3U	CTU	URC		0	319 330
3U	CTU	WNZ		0	320
3U	CTU	WUH		0	319
3U	CTU	WUX		0	320
3U	CTU	WXN		0	319
3U	CTU	XIC		0	320
3U	CTU	XIY		0	320 319
3U	CTU	XMN		0	320
3U	CTU	XNN		0	320
3U	CTU	XUZ		0	320
3U	CTU	YIH		0	320
3U	CTU	YTY		0	319
3U	CZX	CKG		0	320
3U	CZX	HRB		0	321
3U	CZX	XMN		0	321
3U	CZX	ZUH		0	320
3U	DAT	TYN		0	319
3U	DCY	CTU		0	319
3U	DLC	CKG		0	320
3U	DLC	HGH		0	320
3U	DLC	HRB		0	320
3U	DLC	TNA		0	321
3U	DLC	XUZ		0	320
3U	DNH	LHW		0	319
3U	DSN	CTU		0	319
3U	DSN	SHE		0	319
3U	DYG	CKG		0	320
3U	DYG	NKG		0	319
3U	FOC	CSX		0	320
3U	FOC	XIY		0	319
3U	GXH	LXA		0	319
3U	GXH	XIY		0	319
3U	HAK	CKG		0	319
3U	HAK	CTU		0	321
3U	HAK	HGH		0	320
3U	HAK	NGB		0	321
3U	HAK	ZUH		0	320
3U	HDG	CTU		0	319
3U	HET	CTU		0	320
3U	HFE	CTU		0	321
3U	HGH	CGO		0	320
3U	HGH	CKG		0	320 319
3U	HGH	CTU		0	319 320
3U	HGH	DLC		0	320
3U	HGH	HAK		0	320
3U	HGH	KWE		0	320
3U	HGH	TSN		0	320
3U	HGH	TYN		0	320
3U	HKG	CTU		0	320
3U	HKG	YIH		0	320
3U	HKG	ZHA		0	319
3U	HKT	CKG		0	321
3U	HKT	CTU		0	321
3U	HRB	CGO		0	320
3U	HRB	CZX		0	321
3U	HRB	DLC		0	320
3U	HRB	INC		0	321
3U	HRB	NGB		0	321
3U	HRB	NKG		0	319
3U	HRB	NZH		0	321
3U	HRB	SJW		0	321
3U	HRB	TNA		0	320 321
3U	HRB	TSN		0	321
3U	HRB	WNZ		0	321
